,root,model,Season_RA,D,Season_Period,AR,Season_MA,MA,Season_D,test_aic,test_bic,test_rmse,train_bic,train_aic,train_hqic,test_hqic,train_rmse
159,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_0_AR_0_Season_MA_1_Season_D_1_MA_2,4,0,0,0,1,2,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
160,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_0_AR_3_Season_MA_0_Season_D_1_MA_0,4,0,0,3,0,0,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
161,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_0_AR_3_Season_MA_6_Season_D_0_MA_5,4,0,0,3,6,5,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
162,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_0_Season_Period_0_AR_6_Season_MA_3_Season_D_1_MA_2,5,0,0,6,3,2,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
163,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_0_D_0_Season_Period_0_AR_0_Season_MA_1_Season_D_0_MA_0,0,0,0,0,1,0,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
164,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_2_D_1_Season_Period_0_AR_2_Season_MA_1_Season_D_0_MA_0,2,1,0,2,1,0,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
165,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_0_Season_Period_0_AR_3_Season_MA_1_Season_D_0_MA_1,3,0,0,3,1,1,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
166,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_0_D_1_Season_Period_2_AR_0_Season_MA_2_Season_D_1_MA_1,0,1,2,0,2,1,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
167,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_0_D_1_Season_Period_2_AR_1_Season_MA_0_Season_D_1_MA_3,0,1,2,1,0,3,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
168,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_0_D_1_Season_Period_6_AR_5_Season_MA_6_Season_D_0_MA_3,0,1,6,5,6,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
169,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_0_Season_Period_0_AR_1_Season_MA_1_Season_D_1_MA_3,1,0,0,1,1,3,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
170,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_0_Season_Period_0_AR_2_Season_MA_0_Season_D_0_MA_1,1,0,0,2,0,1,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
171,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_0_Season_Period_0_AR_2_Season_MA_2_Season_D_0_MA_2,1,0,0,2,2,2,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
172,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_0_Season_Period_0_AR_3_Season_MA_0_Season_D_0_MA_2,1,0,0,3,0,2,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
173,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_0_Season_Period_0_AR_3_Season_MA_2_Season_D_0_MA_3,1,0,0,3,2,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
174,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_0_Season_Period_6_AR_4_Season_MA_4_Season_D_0_MA_5,1,0,6,4,4,5,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
175,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_0_Season_Period_6_AR_6_Season_MA_6_Season_D_0_MA_3,1,0,6,6,6,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
176,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_1_Season_Period_0_AR_1_Season_MA_1_Season_D_0_MA_3,1,1,0,1,1,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
177,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_1_Season_Period_0_AR_1_Season_MA_2_Season_D_0_MA_1,1,1,0,1,2,1,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
178,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_1_Season_Period_0_AR_1_Season_MA_3_Season_D_0_MA_6,1,1,0,1,3,6,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
